20777,62942,19723
42972,30609,62475
56049,10549,19554
71897,99081,70264
94818,64824,2168
61615,9572,66230
87804,95946,40652
50039,22696,52204
62624,81824,35726
53922,25473,10598
85151,46272,56496
93671,32179,19870
33557,66547,4748
96608,71887,9647
81328,88872,43186
81409,3653,17891
99590,74944,48513
69788,9774,56998
81615,32949,66471
83841,55524,90770
88298,80792,44136
96882,90907,68964
68114,81587,28190
24634,19966,88922
20995,39937,49956
22682,74304,96721
1018,50322,92118
73025,53878,28344
98732,30236,54656
38044,64456,11345
83390,61969,69925
51395,90842,58661
65464,21203,85371
65026,37989,7336
14774,44620,67643
64334,28201,18209
77983,49947,59417
35920,77629,88037
78768,43166,86672
65620,71723,34250
99110,5678,16423
96278,72417,12859
21346,3739,59110
38511,12327,2149
12763,79788,11320
2776,54840,16469
58582,23762,79756
1830,96420,44680
86670,90335,53119
68762,49152,86134
56842,1546,91626
90630,33507,86800
16393,73883,32320
85188,81438,79571
5721,21646,39622
34111,94995,61900
19290,81642,32311
43545,17970,23463
28076,83571,40251
45580,28547,2271
91974,65147,81738
46759,31788,85986
64769,9339,22220
97285,97751,23413
42799,76343,88561
79112,62161,15992
29929,42204,82298
16830,61276,32776
91578,91729,38794
37806,2172,80147
50042,96637,18217
68823,5743,26956
32360,46472,28599
6778,86907,67503
94500,14784,51360
74664,18113,65746
57843,95426,85808
82616,30140,21061
42614,83823,28641
41380,25069,59362
83315,9429,82747
77328,78465,67673
52031,32595,97921
76088,86256,89478
6706,39747,26674
12557,87121,62743
33950,45552,23583
31585,26032,22578
33870,6206,65850
53361,25519,23751
63020,52785,47884
79016,43804,12542
54255,67245,70184
80457,58165,67836
64056,1687,95408
20790,98838,30045
2883,37548,36106
71073,19539,81820
7182,18597,58592
18143,12621,80530
6780,22126,49765
8239,71596,68788
89281,86941,24710
7959,35086,66329
15634,18831,93127
3954,48354,31392
88059,16066,2161
59077,43286,27628
21105,4829,39836
45571,12183,58321
98974,46125,55807
73733,68623,31838
1836,9878,6191
28912,66389,84074
32135,27457,57920
70808,16753,21585
2139,380,64759
52646,44071,42531
81166,56071,29109
7936,60700,32872
83461,55707,10252
22791,66103,48388
28139,23234,69744
64533,59559,41313
36330,31813,78802
64772,84324,26022
15287,9089,40021
40346,12414,24996
25145,38364,50767
4063,88207,88534
66071,85200,19824
39132,78541,66239
63306,33774,24944
50475,4285,18871
44608,85769,88303
36601,32502,74868
96949,88530,98652
80653,93039,55014
96075,13752,88117
50233,26907,55857
63491,19657,56626
38204,94316,60019
52712,97473,47904
77364,80440,72126
98238,38518,93979
70463,72265,9473
34797,41760,6263
80876,16414,56630
86829,28219,29719
59473,7654,40839
36732,90610,25290
29690,43542,98861
12174,15514,11030
26038,8654,34985
1316,56659,76172
37147,90069,91445
67014,82602,41934
38396,1108,86150
35430,76040,84142
44545,92419,49423
3041,75650,68326
19194,92179,26233
65941,20630,6806
21991,66345,64278
56699,76018,13880
49103,14347,7898
32416,77461,96050
73979,91701,87941
33162,65456,35080
25092,73070,91602
43363,76598,27823
54526,59399,49533
82193,14090,69671
63362,75234,88959
13866,82616,30404
95246,22241,34966
62582,67694,10184
88298,76639,71228
56621,34825,65861
755,70077,31711
50969,93934,85669
21032,86397,81222
16049,30459,22241
57410,97401,87987
2991,43364,71500
55844,20872,81334
40297,51418,18081
64445,29710,16641
52079,84560,33464
75555,37764,13111
50855,76099,54092
28581,29067,3364
27557,20797,11607
24071,65720,35964
40060,35958,28461
54263,62787,50429
68179,91959,47566
